draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
125,SL49,2024-10-15,21:00,08-14-20-22-32-35,131,21.833,8,35,27,5,1,4,2,6,0,0
126,SL49,2024-10-17,21:00,04-13-37-40-41-45,180,30,4,45,41,2,4,2,4,6,1,0
127,SL49,2024-10-20,21:00,01-20-22-29-31-32,135,22.5,1,32,31,3,3,3,3,6,1,0
128,SL49,2024-10-22,21:00,03-04-14-17-24-28,90,15,3,28,25,4,2,5,1,6,1,0
129,SL49,2024-10-24,21:00,02-13-18-24-45-49,151,25.167,2,49,47,3,3,4,2,6,0,1
130,SL49,2024-10-27,21:00,14-28-31-37-42-44,196,32.667,14,44,30,4,2,1,5,6,0,0
131,SL49,2024-10-29,21:00,03-27-34-37-39-43,183,30.5,3,43,40,1,5,1,5,6,0,1
132,SL49,2024-10-31,21:00,05-11-19-27-42-43,147,24.5,5,43,38,1,5,3,3,6,1,2
133,SL49,2024-11-03,21:00,06-08-12-20-41-48,135,22.5,6,48,42,5,1,4,2,6,0,0
134,SL49,2024-11-05,21:00,19-24-25-33-35-38,174,29,19,38,19,2,4,3,3,6,1,0
135,SL49,2024-11-07,21:00,07-26-32-40-48-49,202,33.667,7,49,42,4,2,1,5,6,1,0
136,SL49,2024-11-26,21:00,09-29-30-31-33-43,175,29.167,9,43,34,1,5,1,5,6,2,0
137,SL49,2024-11-28,21:00,13-30-36-40-44-49,212,35.333,13,49,36,4,2,1,5,6,0,1
138,SL49,2024-12-01,21:00,05-08-11-13-17-18,72,12,5,18,13,2,4,6,0,6,1,1
139,SL49,2024-12-03,21:00,02-05-35-39-46-48,175,29.167,2,48,46,3,3,2,4,6,0,1
140,SL49,2024-12-05,21:00,11-21-23-24-31-47,157,26.167,11,47,36,1,5,4,2,6,1,0
141,SL49,2024-12-08,21:00,20-32-36-38-39-44,209,34.833,20,44,24,5,1,1,5,6,1,0
142,SL49,2024-12-10,21:00,05-07-32-36-42-45,167,27.833,5,45,40,3,3,2,4,6,0,2
143,SL49,2024-12-12,21:00,04-10-25-33-34-43,149,24.833,4,43,39,3,3,3,3,6,1,0
144,SL49,2024-12-15,21:00,11-12-20-29-39-45,156,26,11,45,34,2,4,3,3,6,1,0
145,SL49,2024-12-17,21:00,04-09-19-22-26-28,108,18,4,28,24,4,2,4,2,6,0,0
146,SL49,2024-12-19,21:00,08-09-14-28-36-41,136,22.667,8,41,33,4,2,3,3,6,1,2
147,SL49,2024-12-22,21:00,07-10-13-18-21-31,100,16.667,7,31,24,2,4,5,1,6,0,0
148,SL49,2024-12-24,21:00,02-12-16-41-44-45,160,26.667,2,45,43,4,2,3,3,6,1,0
149,SL49,2024-12-26,21:00,01-23-31-33-45-46,179,29.833,1,46,45,1,5,2,4,6,1,1
150,SL49,2024-12-29,21:00,01-12-13-19-41-48,134,22.333,1,48,47,2,4,4,2,6,1,1
151,SL49,2024-12-31,21:00,20-24-33-34-35-40,186,31,20,40,20,4,2,2,4,6,2,0
152,SL49,2025-01-02,21:00,07-11-15-19-24-48,124,20.667,7,48,41,2,4,5,1,6,0,1
153,SL49,2025-01-05,21:00,07-12-16-35-42-45,157,26.167,7,45,38,3,3,3,3,6,0,1
154,SL49,2025-01-07,21:00,03-09-19-24-31-45,131,21.833,3,45,42,1,5,4,2,6,0,1
155,SL49,2025-01-09,21:00,04-05-08-20-22-44,103,17.167,4,44,40,5,1,5,1,6,1,0
156,SL49,2025-01-12,21:00,03-09-12-25-36-48,133,22.167,3,48,45,3,3,4,2,6,0,0
