draw_index,draw_date,draw_time,position,number
157,2025-01-17,21:00,1,4
157,2025-01-17,21:00,2,6
157,2025-01-17,21:00,3,5
157,2025-01-17,21:00,4,2
158,2025-01-20,21:00,1,8
158,2025-01-20,21:00,2,3
158,2025-01-20,21:00,3,1
158,2025-01-20,21:00,4,7
159,2025-01-22,21:00,1,8
159,2025-01-22,21:00,2,4
159,2025-01-22,21:00,3,0
159,2025-01-22,21:00,4,2
160,2025-01-24,21:00,1,5
160,2025-01-24,21:00,2,0
160,2025-01-24,21:00,3,0
160,2025-01-24,21:00,4,7
161,2025-01-27,21:00,1,5
161,2025-01-27,21:00,2,6
161,2025-01-27,21:00,3,2
161,2025-01-27,21:00,4,1
162,2025-01-29,21:00,1,5
162,2025-01-29,21:00,2,9
162,2025-01-29,21:00,3,2
162,2025-01-29,21:00,4,3
163,2025-01-31,21:00,1,0
163,2025-01-31,21:00,2,2
163,2025-01-31,21:00,3,3
163,2025-01-31,21:00,4,6
164,2025-02-03,21:00,1,1
164,2025-02-03,21:00,2,9
164,2025-02-03,21:00,3,7
164,2025-02-03,21:00,4,1
165,2025-02-05,21:00,1,7
165,2025-02-05,21:00,2,3
165,2025-02-05,21:00,3,2
165,2025-02-05,21:00,4,4
166,2025-02-07,21:00,1,1
166,2025-02-07,21:00,2,7
166,2025-02-07,21:00,3,8
166,2025-02-07,21:00,4,9
167,2025-02-10,21:00,1,6
167,2025-02-10,21:00,2,9
167,2025-02-10,21:00,3,2
167,2025-02-10,21:00,4,3
168,2025-02-12,21:00,1,4
168,2025-02-12,21:00,2,3
168,2025-02-12,21:00,3,3
168,2025-02-12,21:00,4,5
169,2025-02-14,21:00,1,1
169,2025-02-14,21:00,2,0
169,2025-02-14,21:00,3,3
169,2025-02-14,21:00,4,1
170,2025-02-17,21:00,1,7
170,2025-02-17,21:00,2,6
170,2025-02-17,21:00,3,1
170,2025-02-17,21:00,4,7
171,2025-02-19,21:00,1,5
171,2025-02-19,21:00,2,1
171,2025-02-19,21:00,3,9
171,2025-02-19,21:00,4,6
172,2025-02-21,21:00,1,0
172,2025-02-21,21:00,2,6
172,2025-02-21,21:00,3,9
172,2025-02-21,21:00,4,3
173,2025-02-24,21:00,1,1
173,2025-02-24,21:00,2,1
173,2025-02-24,21:00,3,4
173,2025-02-24,21:00,4,6
174,2025-02-26,21:00,1,2
174,2025-02-26,21:00,2,5
174,2025-02-26,21:00,3,1
174,2025-02-26,21:00,4,7
175,2025-02-28,21:00,1,2
175,2025-02-28,21:00,2,3
175,2025-02-28,21:00,3,1
175,2025-02-28,21:00,4,7
176,2025-03-03,21:00,1,5
176,2025-03-03,21:00,2,6
176,2025-03-03,21:00,3,3
176,2025-03-03,21:00,4,6
177,2025-03-05,21:00,1,1
177,2025-03-05,21:00,2,4
177,2025-03-05,21:00,3,9
177,2025-03-05,21:00,4,4
178,2025-03-07,21:00,1,7
178,2025-03-07,21:00,2,8
178,2025-03-07,21:00,3,1
178,2025-03-07,21:00,4,0
179,2025-03-10,21:00,1,1
179,2025-03-10,21:00,2,9
179,2025-03-10,21:00,3,4
179,2025-03-10,21:00,4,8
180,2025-03-12,21:00,1,8
180,2025-03-12,21:00,2,4
180,2025-03-12,21:00,3,1
180,2025-03-12,21:00,4,7
181,2025-03-14,21:00,1,7
